;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 19/05/2017 01:45:49 p. m.
;----------------------------------------------

;Address Opcode 	ASM
0x1090	0x0E01      	MOVLW       1
0x1092	0x6E58      	MOVWF       FARG_I2C_LCD_Out_column 
0x1094	0x0E46      	MOVLW       _txt1
0x1096	0x6E59      	MOVWF       FARG_I2C_LCD_Out_text 
0x1098	0x0E00      	MOVLW       hi_addr(_txt1)
0x109A	0x6E5A      	MOVWF       FARG_I2C_LCD_Out_text+1 
0x109C	0xDAD2      	RCALL       _I2C_LCD_Out
;LCD_i2c.mbas,209 :: 		I2C_Lcd_Out(2,1,txt2)                 ' Write text in second row
0x109E	0x0E02      	MOVLW       2
0x10A0	0x6E57      	MOVWF       FARG_I2C_LCD_Out_row 
0x10A2	0x0E01      	MOVLW       1
0x10A4	0x6E58      	MOVWF       FARG_I2C_LCD_Out_column 
0x10A6	0x0E35      	MOVLW       _txt2
0x10A8	0x6E59      	MOVWF       FARG_I2C_LCD_Out_text 
0x10AA	0x0E00      	MOVLW       hi_addr(_txt2)
0x10AC	0x6E5A      	MOVWF       FARG_I2C_LCD_Out_text+1 
0x10AE	0xDAC9      	RCALL       _I2C_LCD_Out
;LCD_i2c.mbas,211 :: 		while(TRUE)
L__main53:
0x10B0	0xD7FF      	BRA         L__main53
;LCD_i2c.mbas,213 :: 		Wend
L_end_main:
0x10B2	0xD7FF      	BRA         $+0
; end of _main
_UART1_Write:
;__Lib_UART_b57.mpas,85 :: 		
;__Lib_UART_b57.mpas,86 :: 		
L__UART1_Write14:
0x10B4	0xB2AC      	BTFSC       TXSTA, 1 
0x10B6	0xD002      	BRA         L__UART1_Write15
0x10B8	0x0000      	NOP
0x10BA	0xD7FC      	BRA         L__UART1_Write14
L__UART1_Write15:
;__Lib_UART_b57.mpas,87 :: 		
0x10BC	0xFFADC06F  	MOVFF       FARG_UART1_Write_data_, TXREG
;__Lib_UART_b57.mpas,88 :: 		
L_end_UART1_Write:
0x10C0	0x0012      	RETURN      0
; end of _UART1_Write
_SPI1_Write:
;__Lib_SPI_b46c7.mpas,100 :: 		
;__Lib_SPI_b46c7.mpas,102 :: 		
0x10C2	0xFFC9C06F  	MOVFF       FARG_SPI1_Write_data_, SSPBUF
;__Lib_SPI_b46c7.mpas,103 :: 		
L__SPI1_Write22:
0x10C6	0xB0C7      	BTFSC       SSPSTAT, 0 
0x10C8	0xD002      	BRA         L__SPI1_Write23
0x10CA	0x0000      	NOP
0x10CC	0xD7FC      	BRA         L__SPI1_Write22
L__SPI1_Write23:
;__Lib_SPI_b46c7.mpas,104 :: 		
0x10CE	0xF000CFC9  	MOVFF       SSPBUF, R0
;__Lib_SPI_b46c7.mpas,106 :: 		
L_end_SPI1_Write:
0x10D2	0x0012      	RETURN      0
; end of _SPI1_Write
_I2C1_Is_Idle:
;__Lib_I2C_b46.mpas,95 :: 		
;__Lib_I2C_b46.mpas,96 :: 		
0x10D4	0x6A02      	CLRF        R2 
;__Lib_I2C_b46.mpas,97 :: 		
0x10D6	0xB4C7      	BTFSC       SSPSTAT, 2 
0x10D8	0xD008      	BRA         L__I2C1_Is_Idle4
;__Lib_I2C_b46.mpas,98 :: 		
0x10DA	0x0E1F      	MOVLW       31
0x10DC	0x14C5      	ANDWF       SSPCON2, 0 
0x10DE	0x6E01      	MOVWF       R1 
0x10E0	0x5001      	MOVF        R1, 0 
0x10E2	0x0A00      	XORLW       0
0x10E4	0xE102      	BNZ         L__I2C1_Is_Idle7
;__Lib_I2C_b46.mpas,99 :: 		
0x10E6	0x0EFF      	MOVLW       255
0x10E8	0x6E02      	MOVWF       R2 
L__I2C1_Is_Idle7:
L__I2C1_Is_Idle4:
;__Lib_I2C_b46.mpas,100 :: 		
0x10EA	0xF000C002  	MOVFF       R2, R0
L_end_I2C1_Is_Idle:
0x10EE	0x0012      	RETURN      0
; end of _I2C1_Is_Idle
_____DoIFC:
;__Lib_System.mpas,137 :: 		
;__Lib_System.mpas,139 :: 		
0x10F0	0x50F2      	MOVF        INTCON, 0, 0
;__Lib_System.mpas,140 :: 		
0x10F2	0x6E02      	MOVWF       R2, 0
;__Lib_System.mpas,142 :: 		
0x10F4	0x9EF2      	BCF         INTCON, 7 
;__Lib_System.mpas,144 :: 		
0x10F6	0x0005      	PUSH
;__Lib_System.mpas,145 :: 		
0x10F8	0x6AFF      	CLRF        TOSU, 0
;__Lib_System.mpas,146 :: 		
0x10FA	0x5001      	MOVF        R1, 0, 0
;__Lib_System.mpas,147 :: 		
0x10FC	0x6EFE      	MOVWF       TOSH, 0
;__Lib_System.mpas,148 :: 		
0x10FE	0x5000      	MOVF        R0, 0, 0
;__Lib_System.mpas,149 :: 		
0x1100	0x6EFD      	MOVWF       TOSL, 0
;__Lib_System.mpas,150 :: 		
0x1102	0xBE02      	BTFSC       R2, 7, 0
;__Lib_System.mpas,151 :: 		
0x1104	0x8EF2      	BSF         INTCON, 7, 0
;__Lib_System.mpas,153 :: 		
L_end_____DoIFC:
0x1106	0x0012      	RETURN      0
; end of _____DoIFC
_I2C1_Stop:
;__Lib_I2C_b46.mpas,261 :: 		
;__Lib_I2C_b46.mpas,262 :: 		
0x1108	0x84C5      	BSF         SSPCON2, 2 
;__Lib_I2C_b46.mpas,263 :: 		
L_end_I2C1_Stop:
0x110A	0x0012      	RETURN      0
; end of _I2C1_Stop
_I2C1_Wr:
;__Lib_I2C_b46.mpas,212 :: 		
;__Lib_I2C_b46.mpas,213 :: 		
0x110C	0xF06AC031  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT, I2C1_Wr_timeout
0x1110	0xF06BC032  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT+1, I2C1_Wr_timeout+1
0x1114	0xF06CC033  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT+2, I2C1_Wr_timeout+2
0x1118	0xF06DC034  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT+3, I2C1_Wr_timeout+3
;__Lib_I2C_b46.mpas,215 :: 		
0x111C	0x969E      	BCF         PIR1, 3 
;__Lib_I2C_b46.mpas,216 :: 		
0x111E	0xFFC9C068  	MOVFF       FARG_I2C1_Wr_data_, SSPBUF
;__Lib_I2C_b46.mpas,218 :: 		
L__I2C1_Wr72:
0x1122	0xA4C7      	BTFSS       SSPSTAT, 2 
0x1124	0xD031      	BRA         L__I2C1_Wr73
;__Lib_I2C_b46.mpas,221 :: 		
0x1126	0x0E00      	MOVLW       0
0x1128	0x6E00      	MOVWF       R0 
0x112A	0x1834      	XORWF       __Lib_I2C_b46__I2C1_TIMEOUT+3, 0 
0x112C	0xE108      	BNZ         L__I2C1_Wr121
0x112E	0x5000      	MOVF        R0, 0 
0x1130	0x1833      	XORWF       __Lib_I2C_b46__I2C1_TIMEOUT+2, 0 
0x1132	0xE105      	BNZ         L__I2C1_Wr121
0x1134	0x5000      	MOVF        R0, 0 
0x1136	0x1832      	XORWF       __Lib_I2C_b46__I2C1_TIMEOUT+1, 0 
0x1138	0xE102      	BNZ         L__I2C1_Wr121
0x113A	0x5031      	MOVF        __Lib_I2C_b46__I2C1_TIMEOUT, 0 
0x113C	0x0A00      	XORLW       0
L__I2C1_Wr121:
0x113E	0xE023      	BZ          L__I2C1_Wr77
;__Lib_I2C_b46.mpas,223 :: 		
0x1140	0x0E00      	MOVLW       0
0x1142	0x6E00      	MOVWF       R0 
0x1144	0x0100      	MOVLB       0
0x1146	0x196D      	XORWF       I2C1_Wr_timeout+3, 0, 1
0x1148	0xE108      	BNZ         L__I2C1_Wr122
0x114A	0x5000      	MOVF        R0, 0 
0x114C	0x196C      	XORWF       I2C1_Wr_timeout+2, 0, 1
0x114E	0xE105      	BNZ         L__I2C1_Wr122
0x1150	0x5000      	MOVF        R0, 0 
0x1152	0x196B      	XORWF       I2C1_Wr_timeout+1, 0, 1
0x1154	0xE102      	BNZ         L__I2C1_Wr122
0x1156	0x516A      	MOVF        I2C1_Wr_timeout, 0, 1
0x1158	0x0A00      	XORLW       0
L__I2C1_Wr122:
0x115A	0xE10F      	BNZ         L__I2C1_Wr80
;__Lib_I2C_b46.mpas,225 :: 		
0x115C	0xFFE1C01F  	MOVFF       _I2C1_Timeout_Ptr+2, FSR1L
0x1160	0xFFE2C020  	MOVFF       _I2C1_Timeout_Ptr+3, FSR1H
0x1164	0x0E04      	MOVLW       4
0x1166	0x6EE6      	MOVWF       POSTINC1 
0x1168	0xF000C01D  	MOVFF       _I2C1_Timeout_Ptr, R0
0x116C	0xF001C01E  	MOVFF       _I2C1_Timeout_Ptr+1, R1
0x1170	0xDFBF      	RCALL       _____DoIFC
;__Lib_I2C_b46.mpas,226 :: 		
0x1172	0x0E01      	MOVLW       1
0x1174	0x0100      	MOVLB       0
0x1176	0x6F69      	MOVWF       I2C1_Wr_local_result, 1
;__Lib_I2C_b46.mpas,227 :: 		
0x1178	0xD04B      	BRA         L_end__I2C1_Wr
;__Lib_I2C_b46.mpas,228 :: 		
L__I2C1_Wr80:
;__Lib_I2C_b46.mpas,229 :: 		
0x117A	0x0E01      	MOVLW       1
0x117C	0x5F6A      	SUBWF       I2C1_Wr_timeout, 1, 1
0x117E	0x0E00      	MOVLW       0
0x1180	0x5B6B      	SUBWFB      I2C1_Wr_timeout+1, 1, 1
0x1182	0x5B6C      	SUBWFB      I2C1_Wr_timeout+2, 1, 1
0x1184	0x5B6D      	SUBWFB      I2C1_Wr_timeout+3, 1, 1
;__Lib_I2C_b46.mpas,230 :: 		
L__I2C1_Wr77:
;__Lib_I2C_b46.mpas,231 :: 		
0x1186	0xD7CD      	BRA         L__I2C1_Wr72
L__I2C1_Wr73:
;__Lib_I2C_b46.mpas,233 :: 		
0x1188	0xF06AC031  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT, I2C1_Wr_timeout
0x118C	0xF06BC032  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT+1, I2C1_Wr_timeout+1
0x1190	0xF06CC033  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT+2, I2C1_Wr_timeout+2
0x1194	0xF06DC034  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT+3, I2C1_Wr_timeout+3
;__Lib_I2C_b46.mpas,235 :: 		
L__I2C1_Wr83:
0x1198	0xB69E      	BTFSC       PIR1, 3 
0x119A	0xD031      	BRA         L__I2C1_Wr84
;__Lib_I2C_b46.mpas,238 :: 		
0x119C	0x0E00      	MOVLW       0
0x119E	0x6E00      	MOVWF       R0 
0x11A0	0x1834      	XORWF       __Lib_I2C_b46__I2C1_TIMEOUT+3, 0 
0x11A2	0xE108      	BNZ         L__I2C1_Wr123
0x11A4	0x5000      	MOVF        R0, 0 
0x11A6	0x1833      	XORWF       __Lib_I2C_b46__I2C1_TIMEOUT+2, 0 
0x11A8	0xE105      	BNZ         L__I2C1_Wr123
0x11AA	0x5000      	MOVF        R0, 0 
0x11AC	0x1832      	XORWF       __Lib_I2C_b46__I2C1_TIMEOUT+1, 0 
0x11AE	0xE102      	BNZ         L__I2C1_Wr123
0x11B0	0x5031      	MOVF        __Lib_I2C_b46__I2C1_TIMEOUT, 0 
0x11B2	0x0A00      	XORLW       0
L__I2C1_Wr123:
0x11B4	0xE023      	BZ          L__I2C1_Wr88
;__Lib_I2C_b46.mpas,240 :: 		
0x11B6	0x0100      	MOVLB       0
0x11B8	0x0E00      	MOVLW       0
0x11BA	0x6E00      	MOVWF       R0 
0x11BC	0x196D      	XORWF       I2C1_Wr_timeout+3, 0, 1
0x11BE	0xE108      	BNZ         L__I2C1_Wr124
0x11C0	0x5000      	MOVF        R0, 0 
0x11C2	0x196C      	XORWF       I2C1_Wr_timeout+2, 0, 1
0x11C4	0xE105      	BNZ         L__I2C1_Wr124
0x11C6	0x5000      	MOVF        R0, 0 
0x11C8	0x196B      	XORWF       I2C1_Wr_timeout+1, 0, 1
0x11CA	0xE102      	BNZ         L__I2C1_Wr124
0x11CC	0x516A      	MOVF        I2C1_Wr_timeout, 0, 1
0x11CE	0x0A00      	XORLW       0
L__I2C1_Wr124:
0x11D0	0xE10F      	BNZ         L__I2C1_Wr91
;__Lib_I2C_b46.mpas,242 :: 		
0x11D2	0xFFE1C01F  	MOVFF       _I2C1_Timeout_Ptr+2, FSR1L
0x11D6	0xFFE2C020  	MOVFF       _I2C1_Timeout_Ptr+3, FSR1H
0x11DA	0x0E04      	MOVLW       4
0x11DC	0x6EE6      	MOVWF       POSTINC1 
0x11DE	0xF000C01D  	MOVFF       _I2C1_Timeout_Ptr, R0
0x11E2	0xF001C01E  	MOVFF       _I2C1_Timeout_Ptr+1, R1
0x11E6	0xDF84      	RCALL       _____DoIFC
;__Lib_I2C_b46.mpas,243 :: 		
0x11E8	0x0E01      	MOVLW       1
0x11EA	0x0100      	MOVLB       0
0x11EC	0x6F69      	MOVWF       I2C1_Wr_local_result, 1
;__Lib_I2C_b46.mpas,244 :: 		
0x11EE	0xD010      	BRA         L_end__I2C1_Wr
;__Lib_I2C_b46.mpas,245 :: 		
L__I2C1_Wr91:
;__Lib_I2C_b46.mpas,246 :: 		
0x11F0	0x0E01      	MOVLW       1
0x11F2	0x5F6A      	SUBWF       I2C1_Wr_timeout, 1, 1
0x11F4	0x0E00      	MOVLW       0
0x11F6	0x5B6B      	SUBWFB      I2C1_Wr_timeout+1, 1, 1
0x11F8	0x5B6C      	SUBWFB      I2C1_Wr_timeout+2, 1, 1
0x11FA	0x5B6D      	SUBWFB      I2C1_Wr_timeout+3, 1, 1
;__Lib_I2C_b46.mpas,247 :: 		
L__I2C1_Wr88:
;__Lib_I2C_b46.mpas,248 :: 		
0x11FC	0xD7CD      	BRA         L__I2C1_Wr83
L__I2C1_Wr84:
;__Lib_I2C_b46.mpas,250 :: 		
0x11FE	0xBCC5      	BTFSC       SSPCON2, 6 
0x1200	0xD003      	BRA         L__I2C1_Wr94
;__Lib_I2C_b46.mpas,251 :: 		
0x1202	0x0100      	MOVLB       0
0x1204	0x6B69      	CLRF        I2C1_Wr_local_result, 1
0x1206	0xD004      	BRA         L__I2C1_Wr95
;__Lib_I2C_b46.mpas,252 :: 		
L__I2C1_Wr94:
0x1208	0x0100      	MOVLB       0
;__Lib_I2C_b46.mpas,254 :: 		
0x120A	0x84C5      	BSF         SSPCON2, 2 
;__Lib_I2C_b46.mpas,255 :: 		
0x120C	0x0E02      	MOVLW       2
0x120E	0x6F69      	MOVWF       I2C1_Wr_local_result, 1
;__Lib_I2C_b46.mpas,256 :: 		
L__I2C1_Wr95:
;__Lib_I2C_b46.mpas,257 :: 		
L_end__I2C1_Wr:
0x1210	0xF000C069  	MOVFF       I2C1_Wr_local_result, R0
L_end_I2C1_Wr:
0x1214	0x0012      	RETURN      0
; end of _I2C1_Wr
_I2C1_Start:
;__Lib_I2C_b46.mpas,106 :: 		
;__Lib_I2C_b46.mpas,108 :: 		
0x1216	0xF06BC031  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT, I2C1_Start_timeout
0x121A	0xF06CC032  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT+1, I2C1_Start_timeout+1
0x121E	0xF06DC033  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT+2, I2C1_Start_timeout+2
0x1222	0xF06EC034  	MOVFF       __Lib_I2C_b46__I2C1_TIMEOUT+3, I2C1_Start_timeout+3
;__Lib_I2C_b46.mpas,110 :: 		
0x1226	0x0100      	MOVLB       0
0x1228	0x6B69      	CLRF        I2C1_Start_j, 1
0x122A	0x6B6A      	CLRF        I2C1_Start_j+1, 1
L__I2C1_Start11:
;__Lib_I2C_b46.mpas,112 :: 		
0x122C	0xDF53      	RCALL       _I2C1_Is_Idle
0x122E	0x5000      	MOVF        R0, 0 
0x1230	0x0A00      	XORLW       0
0x1232	0xE001      	BZ          L__I2C1_Start16
;__Lib_I2C_b46.mpas,113 :: 		
0x1234	0xD00A      	BRA         L__I2C1_Start14
L__I2C1_Start16:
;__Lib_I2C_b46.mpas,114 :: 		
0x1236	0x0100      	MOVLB       0
0x1238	0x516A      	MOVF        I2C1_Start_j+1, 0, 1
0x123A	0x0A12      	XORLW       18
0x123C	0xE102      	BNZ         L__I2C1_Start108
0x123E	0x0E8E      	MOVLW       142
0x1240	0x1969      	XORWF       I2C1_Start_j, 0, 1
L__I2C1_Start108:
0x1242	0xE003      	BZ          L__I2C1_Start14
0x1244	0x4B69      	INFSNZ      I2C1_Start_j, 1, 1
0x1246	0x2B6A      	INCF        I2C1_Start_j+1, 1, 1
0x1248	0xD7F1      	BRA         L__I2C1_Start11
L__I2C1_Start14:
0x124A	0x0100      	MOVLB       0
;__Lib_I2C_b46.mpas,116 :: 		
0x124C	0x0E12      	MOVLW       18
0x124E	0x5D6A      	SUBWF       I2C1_Start_j+1, 0, 1
0x1250	0xE102      	BNZ         L__I2C1_Start109
0x1252	0x0E8F      	MOVLW       143
0x1254	0x5D69      	SUBWF       I2C1_Start_j, 0, 1
L__I2C1_Start109:
0x1256	0xE303      	BNC         L__I2C1_Start19
;__Lib_I2C_b46.mpas,117 :: 		
0x1258	0x0E7B      	MOVLW       123
0x125A	0x6F68      	MOVWF       I2C1_Start_local_result, 1
0x125C	0xD034      	BRA         L__I2C1_Start20
;__Lib_I2C_b46.mpas,118 :: 		
L__I2C1_Start19:
;__Lib_I2C_b46.mpas,120 :: 		
0x125E	0x80C5      	BSF         SSPCON2, 0 
;__Lib_I2C_b46.mpas,121 :: 		
L__I2C1_Start22:
0x1260	0xA0C5      	BTFSS       SSPCON2, 0 
0x1262	0xD030      	BRA         L__I2C1_Start23
;__Lib_I2C_b46.mpas,124 :: 		
0x1264	0x0E00      	MOVLW       0
0x1266	0x6E00      	MOVWF       R0 
0x1268	0x1834      	XORWF       __Lib_I2C_b46__I2C1_TIMEOUT+3, 0 
0x126A	0xE108      	BNZ         L__I2C1_Start110
0x126C	0x5000      	MOVF        R0, 0 
0x126E	0x1833      	XORWF       __Lib_I2C_b46__I2C1_TIMEOUT+2, 0 
0x1270	0xE105      	BNZ         L__I2C1_Start110
0x1272	0x5000      	MOVF        R0, 0 
0x1274	0x1832      	XORWF       __Lib_I2C_b46__I2C1_TIMEOUT+1, 0 
0x1276	0xE102      	BNZ         L__I2C1_Start110
0x1278	0x5031      	MOVF        __Lib_I2C_b46__I2C1_TIMEOUT, 0 
0x127A	0x0A00      	XORLW       0
L__I2C1_Start110:
0x127C	0xE022      	BZ          L__I2C1_Start27
;__Lib_I2C_b46.mpas,126 :: 		
0x127E	0x0E00      	MOVLW       0
0x1280	0x6E00      	MOVWF       R0 
0x1282	0x196E      	XORWF       I2C1_Start_timeout+3, 0, 1
0x1284	0xE108      	BNZ         L__I2C1_Start111
0x1286	0x5000      	MOVF        R0, 0 
0x1288	0x196D      	XORWF       I2C1_Start_timeout+2, 0, 1
0x128A	0xE105      	BNZ         L__I2C1_Start111
0x128C	0x5000      	MOVF        R0, 0 
0x128E	0x196C      	XORWF       I2C1_Start_timeout+1, 0, 1
0x1290	0xE102      	BNZ         L__I2C1_Start111
0x1292	0x516B      	MOVF        I2C1_Start_timeout, 0, 1
0x1294	0x0A00      	XORLW       0
L__I2C1_Start111:
0x1296	0xE10F      	BNZ         L__I2C1_Start30
;__Lib_I2C_b46.mpas,128 :: 		
0x1298	0xFFE1C01F  	MOVFF       _I2C1_Timeout_Ptr+2, FSR1L
0x129C	0xFFE2C020  	MOVFF       _I2C1_Timeout_Ptr+3, FSR1H
0x12A0	0x0E05      	MOVLW       5
0x12A2	0x6EE6      	MOVWF       POSTINC1 
0x12A4	0xF000C01D  	MOVFF       _I2C1_Timeout_Ptr, R0
0x12A8	0xF001C01E  	MOVFF       _I2C1_Timeout_Ptr+1, R1
0x12AC	0xDF21      	RCALL       _____DoIFC
;__Lib_I2C_b46.mpas,129 :: 		
0x12AE	0x0E01      	MOVLW       1
0x12B0	0x0100      	MOVLB       0
0x12B2	0x6F68      	MOVWF       I2C1_Start_local_result, 1
;__Lib_I2C_b46.mpas,130 :: 		
0x12B4	0xD008      	BRA         L_end__I2C1_Start
;__Lib_I2C_b46.mpas,131 :: 		
L__I2C1_Start30:
;__Lib_I2C_b46.mpas,132 :: 		
0x12B6	0x0E01      	MOVLW       1
0x12B8	0x5F6B      	SUBWF       I2C1_Start_timeout, 1, 1
0x12BA	0x0E00      	MOVLW       0
0x12BC	0x5B6C      	SUBWFB      I2C1_Start_timeout+1, 1, 1
0x12BE	0x5B6D      	SUBWFB      I2C1_Start_timeout+2, 1, 1
0x12C0	0x5B6E      	SUBWFB      I2C1_Start_timeout+3, 1, 1
;__Lib_I2C_b46.mpas,133 :: 		
L__I2C1_Start27:
;__Lib_I2C_b46.mpas,134 :: 		
0x12C2	0xD7CE      	BRA         L__I2C1_Start22
L__I2C1_Start23:
;__Lib_I2C_b46.mpas,135 :: 		
0x12C4	0x6B68      	CLRF        I2C1_Start_local_result, 1
;__Lib_I2C_b46.mpas,136 :: 		
L__I2C1_Start20:
;__Lib_I2C_b46.mpas,137 :: 		
L_end__I2C1_Start:
0x12C6	0xF000C068  	MOVFF       I2C1_Start_local_result, R0
L_end_I2C1_Start:
0x12CA	0x0012      	RETURN      0
; end of _I2C1_Start
_I2C_LCD_Cmd:
;LCD_i2c.mbas,32 :: 		Dim rs as byte
;LCD_i2c.mbas,34 :: 		rs = 0
0x12CC	0x0100      	MOVLB       0
0x12CE	0x6B67      	CLRF        I2C_LCD_Cmd_rs, 1
;LCD_i2c.mbas,36 :: 		hi_n = out_char and $F0
0x12D0	0x0EF0      	MOVLW       240
0x12D2	0x1564      	ANDWF       FARG_I2C_LCD_Cmd_out_char, 0, 1
0x12D4	0x6F65      	MOVWF       I2C_LCD_Cmd_hi_n, 1
;LCD_i2c.mbas,37 :: 		lo_n = (out_char << 4) and $F0
0x12D6	0xF066C064  	MOVFF       FARG_I2C_LCD_Cmd_out_char, I2C_LCD_Cmd_lo_n
0x12DA	0x3766      	RLCF        I2C_LCD_Cmd_lo_n, 1, 1
0x12DC	0x9166      	BCF         I2C_LCD_Cmd_lo_n, 0, 1
0x12DE	0x3766      	RLCF        I2C_LCD_Cmd_lo_n, 1, 1
0x12E0	0x9166      	BCF         I2C_LCD_Cmd_lo_n, 0, 1
0x12E2	0x3766      	RLCF        I2C_LCD_Cmd_lo_n, 1, 1
0x12E4	0x9166      	BCF         I2C_LCD_Cmd_lo_n, 0, 1
0x12E6	0x3766      	RLCF        I2C_LCD_Cmd_lo_n, 1, 1
0x12E8	0x9166      	BCF         I2C_LCD_Cmd_lo_n, 0, 1
0x12EA	0x0EF0      	MOVLW       240
0x12EC	0x1766      	ANDWF       I2C_LCD_Cmd_lo_n, 1, 1
;LCD_i2c.mbas,39 :: 		I2C1_Start()
0x12EE	0xDF93      	RCALL       _I2C1_Start
;LCD_i2c.mbas,40 :: 		I2C1_Is_Idle()
0x12F0	0xDEF1      	RCALL       _I2C1_Is_Idle
;LCD_i2c.mbas,41 :: 		I2C1_Wr(LCD_ADDR)
0x12F2	0x0E4E      	MOVLW       78
0x12F4	0x0100      	MOVLB       0
0x12F6	0x6F68      	MOVWF       FARG_I2C1_Wr_data_, 1
